"x","parm_id","emmean.ols","SE.ols","df.ols","asymp.LCL.ols","asymp.UCL.ols","emmean.pca","SE.pca","df.pca","asymp.LCL.pca","asymp.UCL.pca"
9.5,"V",-0.224090183205512,0.0548971419109544,Inf,-0.331686604205167,-0.116493762205857,-0.120169065250167,0.06492744324083,Inf,-0.247424515610462,0.00708638511012832
10,"V",-0.200114272613076,0.0548361126366804,Inf,-0.307591078433151,-0.0926374667930004,-0.145951690637765,0.0648615363444868,Inf,-0.273077965854894,-0.0188254154206348
10.5,"V",-0.176138362020639,0.0548971419109544,Inf,-0.283734783020295,-0.0685419410209844,-0.171734316025362,0.06492744324083,Inf,-0.298989766385658,-0.0444788656650668
11,"V",-0.152162451428203,0.0550798240071424,Inf,-0.260116922757007,-0.0442079800993994,-0.19751694141296,0.0651247637405563,Inf,-0.32515913284613,-0.0698747499797895
11.5,"V",-0.128186540835767,0.0553829551134791,Inf,-0.236735138215584,-0.0196379434559495,-0.223299566800557,0.065452309328116,Inf,-0.35158373578864,-0.095015397812475
12,"V",-0.104210630243331,0.0558045724230823,Inf,-0.213585582365229,0.00516432187856768,-0.249082192188155,0.0659081384819169,Inf,-0.37825976990079,-0.119904614475519
12.5,"V",-0.0802347196508945,0.0563420160388496,Inf,-0.190663041903418,0.0301936026016288,-0.274864817575753,0.0664896128546988,Inf,-0.405182064116974,-0.144547571034531
13,"V",-0.0562588090584583,0.0569920092740944,Inf,-0.167961094642256,0.0554434765253396,-0.30064744296335,0.0671934706249943,Inf,-0.432344225384589,-0.168950660542111
13.5,"V",-0.0322828984660219,0.0577507519661216,Inf,-0.145472292399726,0.080906495467682,-0.326430068350948,0.0680159124715994,Inf,-0.459738807170911,-0.193121329530984
14,"V",-0.00830698787358575,0.0586140210699118,Inf,-0.123188358159685,0.106574382412513,-0.352212693738545,0.0689526952461221,Inf,-0.487357493057911,-0.21706789441918
14.5,"V",0.0156689227188506,0.0595772730249814,Inf,-0.101100386707223,0.132438232144924,-0.377995319126143,0.0699992285079841,Inf,-0.515191285947381,-0.240799352304905
15,"V",0.0396448333112868,0.060635743072711,Inf,-0.0791990392870509,0.158488705909624,-0.40377794451374,0.0711506695637461,Inf,-0.543230694334593,-0.264325194692888
15.5,"V",0.0636207439037231,0.0617845376825304,Inf,-0.0574747247554943,0.18471621256294,-0.429560569901338,0.0724020134020723,Inf,-0.571465908577586,-0.28765523122509
16,"V",0.0875966544961593,0.06301871735513,Inf,-0.0359177618718047,0.211111070864123,-0.455343195288936,0.0737481748087799,Inf,-0.599886961839708,-0.310799428738163
16.5,"V",0.111572565088595,0.0643333681638466,Inf,-0.0145185195166996,0.237663649693891,-0.481125820676533,0.075184060865498,Inf,-0.628483872184377,-0.33376776916869
17,"V",0.135548475681032,0.0657236613656137,Inf,0.00673246647232242,0.264364484889741,-0.506908446064131,0.0767046328879521,Inf,-0.657246763971883,-0.356570128156378
17.5,"V",0.159524386273468,0.0671849011986787,Inf,0.0278443996191758,0.29120437292776,-0.532691071451728,0.0783049575848946,Inf,-0.686165968129058,-0.379216174774398
18,"V",0.183500296865904,0.0687125615635753,Inf,0.0488261509158055,0.318174442816003,-0.558473696839326,0.0799802477860429,Inf,-0.71523210197456,-0.401715291704092
18.5,"V",0.207476207458341,0.070302312664361,Inf,0.0696862066063187,0.345266208310362,-0.584256322226924,0.0817258934922681,Inf,-0.744436130076126,-0.424076514377722
19,"V",0.231452118050777,0.0719500388955042,Inf,0.0904326331293325,0.372471602972221,-0.610038947614521,0.0835374842567714,Inf,-0.773769408116875,-0.446308487112168
19.5,"V",0.255428028643213,0.0736518493314941,Inf,0.111073056558714,0.399783000727712,-0.635821573002119,0.0854108240355936,Inf,-0.80322371200177,-0.468419434002467
20,"V",0.279403939235649,0.0754040821481913,Inf,0.131614653937895,0.427193224533404,-0.661604198389716,0.087341939677202,Inf,-0.832791254496902,-0.49041714228253
